DataSeries,Total Government Debt,    Domestic Debt,        Issued For Non-Spending Purposes,            Publicly Held,                Singapore Government Securities (Market Development),                Treasury Bills And Cash Management Treasury Bills,                Singapore Savings Bonds,            Non-Publicly Held,                Special Singapore Government Securities / Advance Deposits,                Reserves Management Government Securities,        Issued For Spending Purposes,            Publicly Held,                Singapore Government Securities (Infrastructure),                Green Singapore Government Securities (Infrastructure),    Government External Debt,        UK Special Aid,        World Bank,        Asian Development Bank,        Others,    Debt Guarantees
1990,51425.6,51357.7,51357.7,8680,6610,2070,na,42677.7,42677.7,na,0,0,na,na,67.9,35,13.5,14.3,5.1,na
1991,59041.1,59000.3,59000.4,11180,7710,3470,na,47820.4,47820.4,na,0,0,na,na,40.8,25.2,8.2,6.4,1,na
1992,67252.5,67228.2,67228.2,13700,8760,4940,na,53528.2,53528.2,na,0,0,na,na,24.3,15.5,5.1,3.4,0.3,na
1993,69822,69810.4,69810.4,15450,10460,4990,na,54360.4,54360.4,na,0,0,na,na,11.6,9.9,1.7,0,0,na
1994,75344.4,75339.7,75339.7,16110,11110,5000,na,59229.7,59229.7,na,0,0,na,na,4.7,4.7,0,0,0,na
1995,86507.6,86507.6,86507.6,18560,12810,5750,na,67947.6,67947.6,na,0,0,na,na,0,0,0,0,0,na
1996,94830.7,94830.7,94830.7,20500,14510,5990,na,74330.7,74330.7,na,0,0,na,na,0,0,0,0,0,na
1997,102371.9,102371.9,102371.9,21890,14970,6920,na,80481.9,80481.9,na,0,0,na,na,0,0,0,0,0,660
1998,115183.3,115183.3,115183.3,28630,20090,8540,na,86553.3,86553.3,na,0,0,na,na,0,0,0,0,0,510
1999,125777.1,125777.1,125777.1,35300,23140,12160,na,90477.1,90477.1,na,0,0,na,na,0,0,0,0,0,1564.2
2000,134370.4,134370.4,134370.4,43240,29860,13380,na,91130.4,91130.4,na,0,0,na,na,0,0,0,0,0,350.4
2001,148999.9,148999.9,148999.9,53630,38980,14650,na,95369.9,95369.9,na,0,0,na,na,0,0,0,0,0,317.3
2002,156751.3,156751.3,156751.3,58050,41300,16750,na,98701.3,98701.3,na,0,0,na,na,0,0,0,0,0,251.9
2003,169331.9,169331.9,169331.9,63050,45850,17200,na,106281.9,106281.9,na,0,0,na,na,0,0,0,0,0,208.6
2004,186598.2,186598.2,186598.2,72200,52000,20200,na,114398.2,114398.2,na,0,0,na,na,0,0,0,0,0,-
2005,200005.6,200005.6,200005.6,78000,56700,21300,na,122005.6,122005.6,na,0,0,na,na,0,0,0,0,0,-
2006,206438.7,206438.7,206438.7,85800,60000,25800,na,120638.7,120638.7,na,0,0,na,na,0,0,0,0,0,-
2007,234093.2,234093.2,234093.2,98100,65200,32900,na,135993.2,135993.2,na,0,0,na,na,0,0,0,0,0,-
2008,255464.8,255464.8,255464.8,104600,68700,35900,na,150864.8,150864.8,na,0,0,na,na,0,0,0,0,0,-
2009,291501.8,291501.8,291501.8,123700,71600,52100,na,167801.8,167801.8,na,0,0,na,na,0,0,0,0,0,-
2010,321182.3,321182.3,321182.3,132300,75200,57100,na,188882.3,188882.3,na,0,0,na,na,0,0,0,0,0,-
2011,354023.4,354023.4,354023.4,138500,79400,59100,na,215523.4,215523.4,na,0,0,na,na,0,0,0,0,0,-
2012,384997.6,384997.6,384997.6,142600,82600,60000,na,242397.6,242397.6,na,0,0,na,na,0,0,0,0,0,-
2013,390407.1,390407.1,390407.1,124800,86000,38800,na,265607.1,265607.1,na,0,0,na,na,0,0,0,0,0,-
2014,387250.7,387250.7,387250.7,98100,90100,8000,na,289150.7,289150.7,na,0,0,na,na,0,0,0,0,0,-
2015,421302.1,421302.1,421302.2,106398.5,97200,8500,698.5,314903.7,314903.7,na,0,0,na,na,0,0,0,0,0,-
2016,463165.6,463165.6,463165.5,110935.3,101000,9000,935.3,352230.2,352230.2,na,0,0,na,na,0,0,0,0,0,-
2017,502021.9,502021.9,502021.9,117641.7,106500,9500,1641.7,384380.2,384380.2,na,0,0,na,na,0,0,0,0,0,-
2018,546699.5,546699.5,546699.6,128600.5,114700,10200,3700.5,418099.1,418099.1,na,0,0,na,na,0,0,0,0,0,-
2019,641094.3,641094.3,641094.3,188352.4,123900,58800,5652.4,452741.9,452741.9,na,0,0,na,na,0,0,0,0,0,-
2020,704721.4,704721.4,704721.3,201930.2,136300,60000,5630.2,502791.1,502791.1,na,0,0,na,na,0,0,0,0,0,-
2021,777957.7,777957.7,775357.8,217438,146500,65200,5738,557919.8,557919.8,na,2600,2600,2600,na,0,0,0,0,0,-
2022,1079757.7,1079757.7,1072857.7,236105.3,154200,72600,9305.3,836752.4,599062.4,237690,6900,6900,4500,2400,0,0,0,0,0,-
2023,1150259.7,1150259.7,1139059.7,257623.5,156300,89500,11823.5,881436.2,634346.2,247090,11200,11200,6000,5200,0,0,0,0,0,-
