DataSeries,Total,    Manufacturing,"        Food, Beverages & Tobacco","        Paper, Paper Products & Printing",        Refined Petroleum Products,        Chemical & Chemical Products,        Pharmaceutical & Biological Products,        Rubber & Plastic Products,        Basic Metals,        Fabricated Metal Products,        Machinery & Equipment,        Electrical Machinery & Apparatus,"        Computer, Electronic And Optical Products",            Semiconductor Devices,            Computers & Peripheral Equipment,"            Instrumentation, Photographic & Optical Goods",            Other Electronics Nec,        Transport Equipment,    Construction,    Wholesale & Retail Trade,        Wholesale Trade,        Retail Trade,    Accommodation & Food Services,    Transportation & Storage,        Water Transport & Supporting Services,            Freight Water Transport,            Other Water Transport Nec,        Land & Air Transport & Supporting Services,"        Warehousing, Post & Courier Services",    Information & Communications,    Finance & Insurance,        Financial Services,            Banks,            Holding Companies,            Other Financial Services,        Insurance Services,    Real Estate,    Professional And Administrative & Support Services,    Others
1998,2995.4,9322.4,30.9,41.2,na,-106,na,61.6,15.9,131.3,267.2,146.4,5270.8,na,na,207.2,na,128.9,-316.4,32.7,253.9,-221.2,-14.5,402.3,326,na,na,21,55.3,-242.1,-5085.6,-5240.7,-8207.5,na,426.7,155,-685.3,-382.9,-35.3
1999,15443.7,9232.2,98.5,101.8,na,-1395.3,na,81.6,-,168.6,351.6,226.1,6255.7,na,na,322,na,209.6,-53.6,2571.8,2474,97.8,31.3,449,198.5,na,na,102.3,148.3,-26,2809.9,2452.5,1598.8,na,904.9,357.4,332,126.5,-29.6
2000,22174.1,11710.3,129.5,69.4,-22.5,305.8,2314.8,87.8,16.9,158.2,498.5,257.2,7373.9,na,na,437.9,na,278.7,89.1,3830.4,3704.3,126.1,89.2,1875.8,1638.7,na,na,11.4,225.7,-27.4,4297,3943.6,2821.6,424.2,697.7,353.4,381.5,162.2,-233.9
2001,18314.6,10065,100.6,36.2,-288.1,9.3,4358.5,74.9,15.5,62.5,424.3,262.4,4440.7,na,na,440.9,na,431.4,-19.8,3863.4,3703.9,159.4,78.8,1514.3,1217.6,na,na,63.8,232.9,-367.2,3361.9,3037.3,2505.2,158.5,373.6,324.6,96.4,-224.4,-53.8
2002,24611.3,10403.4,72,39.6,670,1569.4,3037,63.4,-,93.6,314.3,231.4,3946.7,na,na,445.2,na,285.2,-64.8,4609.8,4458.8,151,72.1,842.1,574,na,na,57.4,210.7,399.9,7269.4,6456.9,3633.7,2743.8,79.4,812.5,240.3,821.1,18.1
2003,30256.9,16497.5,52.9,28.4,1984.7,754.3,5759.3,107.8,13.4,49.1,378.3,207.8,6898.4,na,na,645,na,238.6,-97.3,3326.6,3125,201.6,38.7,2040.3,1820.8,na,na,27,192.5,224.8,8399.7,7381.4,4346.5,2561.4,473.5,1018.3,-171.2,22.7,-25
2004,43943.7,20297,109.3,26.9,2738.8,2135.7,5574.1,89,12.5,135.3,132.3,38.9,8696.1,na,na,859.8,na,505,-155.1,6429.2,6192.2,237,177.6,4403.7,4237.3,na,na,26.1,140.3,331.1,11706.3,10826.7,4830.6,5205,791.1,879.6,140.7,612.6,0.6
2005,53896.3,22545.4,146.1,46.2,3781.2,1522.1,10448.2,119.8,5.2,75.9,861.8,44.9,5220.1,na,na,719.9,na,142.4,-134.5,11134,10647,487,38.9,5694.9,5471.4,na,na,40.7,182.9,-11.2,12258.7,11138.3,3530.7,6368.4,1239.1,1120.4,805,1579.6,-14.5
2006,60909.6,21524.4,194.4,113.6,4149,1453.6,4849.9,122.5,9.1,-156.3,804.6,105.5,9277.9,na,na,1030.4,na,566.1,122.8,15435.5,15097.9,337.6,276.3,3609.6,3222.2,na,na,60.6,326.9,549,16924.8,13827.3,3206.2,8561.3,2059.7,3097.5,355.3,2129.4,-17.3
2007,80986.5,34166.3,134.8,26.7,5935.1,1160.4,18439.1,99.2,16.9,80.5,846.1,120.8,6287.3,na,na,1127.8,na,972.5,271.9,17120.2,16803.8,316.4,253.5,5563.6,5218,na,na,8.5,337.1,639.9,16987.1,17452.5,3445.5,10369.3,3637.8,-465.5,3045.9,2847.3,91
