DataSeries,Literacy Rate (15 Years & Over),    Literacy Rate (15 Years & Over) - Males,    Literacy Rate (15 Years & Over) - Females
1998,91.9,96.3,87.5
1999,92.3,96.4,88.1
2000,92.5,96.6,88.6
2001,92.9,96.7,89.2
2002,93.2,96.8,89.7
2003,93.5,97,90.2
2004,93.8,97.1,90.6
2005,94.1,97.3,91.1
2006,94.5,97.4,91.6
2007,94.8,97.6,92.1
2008,95.2,97.7,92.7
2009,95.6,97.9,93.3
2010,95.9,98,93.8
2011,96.2,98.4,94.1
2012,96.4,98.5,94.4
2013,96.6,98.5,94.7
2014,96.7,98.6,94.9
2015,96.8,98.6,95.2
2016,97,98.7,95.4
2017,97.2,98.8,95.7
2018,97.3,98.9,95.9
2019,97.5,98.9,96.1
2020,97.1,98.5,95.8
2021,97.6,98.9,96.4
