MillionDollars_Ratio,NetForeignExchangeEarningsFromExports_Exports_MillionDollars,NetForeignExchangeEarningsFromExports_Importrequirementsforexpo,NetForeignExchangeEarningsFromExports_Netforeignexchangeearning,NetForeignExchangeEarningsFromExports_Netforeignexchangeearning
Agriculture and fishing,80.2926,27.3325,52.9601,0.6596
Food products,4024.2951,1801.5625,2222.7326,0.5523
Beverages and tobacco products,1048.0613,363.4013,684.66,0.6533
"Textiles, Wearing apparel, footwear and leather products",406.077,216.5064,189.5706,0.4668
Wood and paper products,966.0442,565.8055,400.2388,0.4143
Printing and reproduction of recorded media,1099.3226,356.8345,742.4881,0.6754
Petroleum products,38626.5161,36111.9144,2514.6018,0.0651
Petrochemicals and petrochemical products,24124.081,19395.1792,4728.9018,0.196
Chemicals and chemical products,9126.4745,5027.2158,4099.2587,0.4492
Pharmaceuticals and biological products,15713.511,5821.6192,9891.8918,0.6295
Rubber and plastic products,873.9167,397.828,476.0887,0.5448
Other non-metallic mineral products,278.0635,171.9848,106.0787,0.3815
Basic metals,1901.8896,1396.1989,505.6907,0.2659
Fabricated metal products (except machinery and equipment),4213.2946,2442.7485,1770.5461,0.4202
Semiconductors,42164.2774,28139.3377,14024.9397,0.3326
Other electronic components and boards,4209.1138,2227.518,1981.5959,0.4708
Computers and peripheral equipment,15629.314,12566.0629,3063.2512,0.196
Data storage,4183.1372,2300.3519,1882.7853,0.4501
Communications equipment and consumer electronics,871.3046,439.9781,431.3265,0.495
"Scientific, photographic and optical products",4555.7622,2282.0903,2273.6719,0.4991
"Electrical industrial apparatus, batteries and accumulators",1391.6297,736.0011,655.6286,0.4711
"Electric wiring, lighting equipment and domestic appliances",239.7307,164.0729,75.6579,0.3156
General and special purpose machinery (except oil rigs),10332.7325,5124.5591,5208.1734,0.504
Land transport equipment,1490.3897,737.8339,752.5558,0.5049
"Ships, boats and oil rigs",18920.9057,10543.3316,8377.574,0.4428
Aircraft and related machinery,8051.8887,4169.985,3881.9038,0.4821
Medical and dental instruments and supplies,9355.1928,5082.5956,4272.5972,0.4567
Other manufacturing,1885.9203,1122.0349,763.8855,0.405
Electricity,64.4998,41.6283,22.8715,0.3546
Gas,9.1858,3.0677,6.1181,0.666
Water and Sewerage,25.4292,5.3564,20.0728,0.7894
"Waste collection, treatment, disposal and material recovery services",1385.2038,574.1353,811.0685,0.5855
Construction of buildings and civil engineering,933.5362,352.7265,580.8098,0.6222
Specialised construction activities,846.7906,314.5308,532.2597,0.6286
Wholesale trade,97473.9592,40158.9416,57315.0175,0.588
Retail trade,483.4868,74.6246,408.8623,0.8457
Land transport and supporting services,531.0291,119.1896,411.8395,0.7755
Water transport and supporting services,54079.6241,40814.3297,13265.2944,0.2453
Air transport and supporting services,10806.9621,6066.3859,4740.5761,0.4387
Warehousing and other supporting services,3671.0802,1182.2683,2488.8119,0.678
Postal and courier,959.7811,457.2938,502.4873,0.5235
Accommodation,37.9768,7.4569,30.52,0.8036
Food and beverage services,60.7571,21.4597,39.2973,0.6468
Publishing,5557.3255,4259.2705,1298.0551,0.2336
Media Entertainment,1261.6039,616.9684,644.6355,0.511
Telecommunications,2611.5988,901.5352,1710.0636,0.6548
"Computer programming, consultancy and Information services",10559.4472,4984.6005,5574.8467,0.5279
Banking and finance,17554.9958,4236.646,13318.3499,0.7587
"Insurance, reinsurance and pension funds",6737.6973,2694.2722,4043.4251,0.6001
Fund management activities,4954.9095,1024.1706,3930.7389,0.7933
Other auxiliary financial and insurance services,10296.1503,4059.434,6236.7162,0.6057
Real estate,584.1844,73.1055,511.0789,0.8749
Ownership of Dwelling,0,0,0,0
Legal services,701.7322,92.7047,609.0275,0.8679
"Accounting, tax consultancy and auditing services",341.7269,43.0578,298.6691,0.874
Business representative offices and HQ,9340.0522,4651.3995,4688.6528,0.502
"Management consultancy, advertising and market research",1633.5402,496.9396,1136.6006,0.6958
Architectural and engineering services,4159.2579,1350.4259,2808.832,0.6753
Research and development,1271.3975,436.2055,835.192,0.6569
"Other Professional, Scientific and technical services",385.3791,132.8537,252.5254,0.6553
Rental and leasing,5999.836,1623.2228,4376.6132,0.7295
Employment and labour contracting,547.2309,59.5739,487.657,0.8911
Other administrative and business support services,1301.7591,371.1053,930.6539,0.7149
Public administration and defence,389.6013,124.5383,265.063,0.6803
Education,444.1056,52.5604,391.5453,0.8816
Medical and health services,1015.2932,185.6693,829.6239,0.8171
Social services,31.0734,4.0887,26.9846,0.8684
"Arts, entertainment and recreation",112.6482,18.4747,94.1735,0.836
Member organisations,17.5296,3.0992,14.4304,0.8232
"Repair of computers, personal and household goods and vehicles",4.546,1.6896,2.8564,0.6283
Domestic and other personal services,27.6023,2.5009,25.1014,0.9094
TOTAL,484974.6656,272425.3922,212549.2734,0.4383
