DataSeries,20244Q,20243Q,20242Q,20241Q,20234Q,20233Q,20232Q,20231Q,20224Q,20223Q,20222Q,20221Q,20214Q,20213Q,20212Q,20211Q,20204Q,20203Q,20202Q,20201Q,20194Q,20193Q,20192Q,20191Q,20184Q,20183Q,20182Q,20181Q,20174Q,20173Q,20172Q,20171Q,20164Q,20163Q,20162Q,20161Q,20154Q,20153Q,20152Q,20151Q,20144Q,20143Q,20142Q,20141Q,20134Q
Net International Investment Position,1094090,1067162.6,1084170.7,1143608.6,1194869.9,1143200.5,1152959.2,1181150.4,1170511.9,1236158.2,1257062.8,1329320.2,1356982.6,1386823,1502923.8,1439991.3,1418987.2,1373997.6,1276596.4,1173668.7,1194246.4,1228432.7,1157149.5,1058351.4,922400.1,978287.9,1104762.2,1089306.3,1151589.5,1150417.7,1115053.2,1050932.6,1026532.9,952086.6,863572.1,829543.1,914909.5,897386.3,823255.7,821621.3,781174.7,768152.2,778942.5,752075.7,767047.1
    External Assets,8040917.4,7780890.6,7727625.8,7623449.8,7462890.3,7405913.8,7352197.9,7199339.1,7217656.4,7297136.4,7201367.3,7185627.9,7067139.2,6943125.2,6895354.8,6692998.5,6536879.6,6347667.5,6222959.5,6167058.8,5825955.7,5710502.8,5550768.6,5367250.1,5182705.2,5210443.4,5280672.9,5180376.4,5110261.3,4998623.3,4855621.8,4754621.1,4650292.4,4485221.4,4363103.2,4292089.7,4354513.3,4332428.5,4186336.2,4206749,4042111.6,3924865,3870924.2,3768557,3706455.6
        Direct Investment,2447647.2,2366251.2,2362392.7,2348333.9,2315515.1,2297365.9,2293455.8,2279402,2255647.2,2230652.7,2196999.8,2167352.6,2108909.8,2053073.8,1994944,1935700.4,1865720.8,1789485.3,1718183.5,1659287.9,1591541.5,1530509.3,1468275.6,1400433.4,1327020.2,1335634.4,1356715.8,1376781.2,1405158.9,1358652.9,1303013.9,1244864.4,1194800.2,1156138.2,1124545.6,1095263.6,1046666.9,1014249.4,979392.4,941110.8,899906.6,872379.1,842920.3,817104.2,787907.2
            Equity And Investment Fund Shares,1880983.3,1816073,1792732.1,1775421.1,1733642.7,1721328.9,1703065.7,1681305.9,1656893.3,1611222,1577077.9,1556530.4,1511158.8,1462488.4,1407871,1360119.6,1300650,1258296,1218773.4,1180634.4,1141521.2,1104374.5,1059182.1,1016081,978418.7,973118.6,976094.6,977374.1,981920.9,959957.1,928948.4,895307.6,869963.4,835269.1,802920.3,773388.8,752986.1,730584.1,712627.7,689696.1,659619.8,637027.1,607804.5,580756.2,554805.8
            Debt Instruments,566663.9,550178.2,569660.6,572912.8,581872.4,576037,590390.1,598096.2,598753.9,619430.6,619921.8,610822.3,597750.9,590585.4,587073,575580.8,565070.7,531189.3,499410.1,478653.5,450020.3,426134.9,409093.5,384352.3,348601.5,362515.8,380621.2,399407.1,423237.9,398695.8,374065.5,349556.8,324836.9,320869.1,321625.4,321874.9,293680.8,283665.3,266764.7,251414.7,240286.8,235352,235115.8,236348,233101.4
        Portfolio Investment,2689998.3,2633186.2,2593051.8,2519193.6,2472968.3,2384699.6,2372280.3,2341712.2,2317673.3,2339685.6,2376465.1,2378269.9,2378545.9,2337097.6,2389907.1,2263216.9,2211233.2,2122675.3,2043743.6,1966446.7,2055792,1997336.7,1936247.4,1812939.1,1722432.6,1747041.1,1757414.8,1735731.1,1708445.9,1659277.9,1595087,1543312.5,1496019.4,1422872,1344864.5,1322032.6,1368941.2,1321079.6,1333319.1,1346037.4,1264242.9,1254613.5,1255781.2,1183390.7,1154112.1
            Equity And Investment Fund Shares,1562621.5,1515927,1507133,1473405.2,1473781.5,1413062.3,1414338.7,1366478.2,1353253.4,1352931.2,1370640.4,1393689.8,1407932.4,1358296.3,1350705.5,1257339.2,1211239.2,1102023.7,1037178.5,957260.4,1092954.2,1033509.1,1009019.8,928825.5,880592.3,914805.8,912195.4,898586.5,892201.2,859060.4,820214.6,790419.9,757748,709088.6,664070.8,665259.8,692311,657958.2,690962.8,696714.4,636568.8,613984.5,614893.5,592326,592231.9
            Debt Securities,1127376.8,1117259.2,1085918.8,1045788.4,999186.7,971637.3,957941.6,975234,964419.9,986754.4,1005824.7,984580.1,970613.4,978801.3,1039201.6,1005877.7,999994.1,1020651.6,1006565,1009186.3,962837.9,963827.7,927227.6,884113.6,841840.3,832235.3,845219.4,837144.7,816244.7,800217.5,774872.4,752892.6,738271.4,713783.4,680793.6,656772.8,676630.2,663121.4,642356.3,649323,627674.1,640629,640887.7,591064.7,561880.2
        Financial Derivatives,298926.7,270378.9,252614.5,243559.4,223518.6,275125.3,291179.5,246410.3,273619.7,285221.8,256301.8,214933.9,182064.7,173928.9,182903.2,185690.6,192737.3,182052,173387.2,165011.8,154395.8,145301.4,137818.8,130710.4,126606.8,119120.4,110214.7,102053.3,96970.6,105274.4,113893.2,120558.2,126755.5,127504.3,128901.1,127992.3,134603.2,137593.6,141912.1,145390.3,147167.9,135426.4,126733.3,117630.8,110404.2
        Other Investment,2097634.8,2011350.6,2015856.2,2014787.2,1987844.1,1988225.2,1947035.8,1915799.9,1982460.1,2031076.1,1934059.1,1911230,1834280,1813220.7,1792141.4,1798146.2,1788348.2,1805659.5,1851686,1978833.9,1648443.8,1660879.7,1637869,1622470.9,1614549.8,1610586.1,1663569.5,1589281.4,1525692,1501422.5,1476993.7,1483083.6,1476463.3,1433173.9,1429916.2,1415275.1,1453311.2,1501658.3,1390648.2,1433451.5,1390356.1,1322935.3,1298995.3,1307178.7,1309302.9
